X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-79.3430939,43.6684494,214,GO-20141948968,2014-04-24T11:29:00.000Z,2014-04-24T12:46:00.000Z,Commercial,1610,200,Robbery - Mugging,2014,April,24,114,Thursday  ,12,2014,April,24,114,Thursday  ,11,Robbery,D55,68,North Riverdale (68),43.6684494,-79.3430939,1
-79.5079269,43.759285,215,GO-20141950728,2014-04-24T13:00:00.000Z,2014-04-24T15:58:00.000Z,House,2120,200,B&E,2014,April,24,114,Thursday  ,15,2014,April,24,114,Thursday  ,13,Break and Enter,D31,24,Black Creek (24),43.759285,-79.5079269,2
-79.5016632,43.6975517,216,GO-20141956416,2014-04-25T13:20:00.000Z,2014-04-25T13:52:00.000Z,Apartment,1430,100,Assault,2014,April,25,115,Friday    ,13,2014,April,25,115,Friday    ,13,Assault,D12,30,Brookhaven-Amesbury (30),43.6975517,-79.5016632,3
-79.5715103,43.7217026,217,GO-20141956867,2014-04-24T17:00:00.000Z,2014-04-25T10:30:00.000Z,Outside,1430,100,Assault,2014,April,25,115,Friday    ,10,2014,April,24,114,Thursday  ,17,Assault,D23,4,Rexdale-Kipling (4),43.7217026,-79.5715103,4
-79.449058500000021,43.646339399999988,4583,GO-2015193892,2015-02-02T09:45:00.000Z,2015-02-02T16:19:00.000Z,House,2120,200,B&E,2015,February,2,33,Monday    ,16,2015,February,2,33,Monday    ,9,Break and Enter,D11,86,Roncesvalles (86),43.6463394,-79.4490585,4206
-79.2991638,43.7163773,105926,GO-20142699869,2014-08-14T09:20:00.000Z,2014-08-14T09:27:00.000Z,Outside,1430,100,Assault,2014,August,14,226,Thursday  ,9,2014,August,14,226,Thursday  ,9,Assault,D41,120,Clairlea-Birchmount (120),43.7163773,-79.2991638,97960
-79.375900300000012,43.6604424,105927,GO-20142704091,2014-08-14T09:00:00.000Z,2014-08-14T21:23:00.000Z,Commercial,2120,200,B&E,2014,August,14,226,Thursday  ,21,2014,August,14,226,Thursday  ,9,Break and Enter,D51,73,Moss Park (73),43.6604424,-79.3759003,97961
-79.287284900000017,43.819912,105928,GO-20142704172,2014-08-14T19:20:00.000Z,2014-08-14T21:38:00.000Z,House,2120,200,B&E,2014,August,14,226,Thursday  ,21,2014,August,14,226,Thursday  ,19,Break and Enter,D42,130,Milliken (130),43.819912,-79.2872849,97962
-79.2221069,43.742488899999984,105929,GO-20142759724,2014-08-23T10:29:00.000Z,2014-08-23T10:29:00.000Z,Outside,1430,100,Assault,2014,August,23,235,Saturday  ,10,2014,August,23,235,Saturday  ,10,Assault,D43,139,Scarborough Village (139),43.7424889,-79.2221069,97963
-79.280227700000012,43.8281059,171893,GO-2015557092,2015-04-03T21:20:00.000Z,2015-04-04T09:27:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,April,4,94,Saturday  ,9,2015,April,3,93,Friday    ,21,Auto Theft,D42,130,Milliken (130),43.8281059,-79.2802277,159181
-79.5843658,43.6392059,171894,GO-20163401,2015-12-31T19:30:00.000Z,2016-01-01T14:57:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,1,1,Friday    ,14,2015,December,31,365,Thursday  ,19,Auto Theft,D22,11,Eringate-Centennial-West Deane (11),43.6392059,-79.5843658,159182
-79.557937599999988,43.6762123,171895,GO-2016611,2015-12-31T19:30:00.000Z,2016-01-01T08:11:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,1,1,Friday    ,8,2015,December,31,365,Thursday  ,19,Auto Theft,D23,7,Willowridge-Martingrove-Richview (7),43.6762123,-79.5579376,159183
-79.4940948,43.7049522,171896,GO-20151438074,2015-08-12T15:15:00.000Z,2015-08-21T09:05:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2015,August,21,233,Friday    ,9,2015,August,12,224,Wednesday ,15,Auto Theft,D12,28,Rustic (28),43.7049522,-79.4940948,159184
-79.4940948,43.7049522,171897,GO-20151438074,2015-08-12T15:15:00.000Z,2015-08-21T09:05:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2015,August,21,233,Friday    ,9,2015,August,12,224,Wednesday ,15,Auto Theft,D12,28,Rustic (28),43.7049522,-79.4940948,159185
-79.2587738,43.7360458,171898,GO-201612560,2016-01-02T17:00:00.000Z,2016-01-03T11:08:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,3,3,Sunday    ,11,2016,January,2,2,Saturday  ,17,Auto Theft,D41,138,Eglinton East (138),43.7360458,-79.2587738,159186
-79.520675699999984,43.7013741,171899,GO-20152137898,2015-12-13T20:30:00.000Z,2015-12-13T21:51:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,December,13,347,Sunday    ,21,2015,December,13,347,Sunday    ,20,Auto Theft,D12,113,Weston (113),43.7013741,-79.5206757,159187
-79.3107529,43.6807938,171900,GO-201622125,2016-01-04T23:43:00.000Z,2016-01-04T23:43:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,4,4,Monday    ,23,2016,January,4,4,Monday    ,23,Auto Theft,D55,62,East End-Danforth (62),43.6807938,-79.3107529,159188
-79.480796799999979,43.6696167,171901,GO-201630683,2016-01-06T09:40:00.000Z,2016-01-06T10:50:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,6,6,Wednesday ,10,2016,January,6,6,Wednesday ,9,Auto Theft,D11,90,Junction Area (90),43.6696167,-79.4807968,159189
-79.4972076,43.757988,171902,GO-201628831,2016-01-06T02:35:00.000Z,2016-01-06T02:35:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,6,6,Wednesday ,2,2016,January,6,6,Wednesday ,2,Auto Theft,D31,27,York University Heights (27),43.757988,-79.4972076,159190
-79.4972076,43.757988,171903,GO-201628831,2016-01-06T02:35:00.000Z,2016-01-06T02:35:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,6,6,Wednesday ,2,2016,January,6,6,Wednesday ,2,Auto Theft,D31,27,York University Heights (27),43.757988,-79.4972076,159191
-79.261131299999988,43.773616799999985,171904,GO-201626051,2016-01-05T11:30:00.000Z,2016-01-05T15:35:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,5,5,Tuesday   ,15,2016,January,5,5,Tuesday   ,11,Auto Theft,D43,127,Bendale (127),43.7736168,-79.2611313,159192
-79.4780655,43.7086601,171905,GO-201631701,2012-12-01T00:01:00.000Z,2016-01-06T13:41:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,6,6,Wednesday ,13,2012,December,1,336,Saturday  ,0,Auto Theft,D12,29,Maple Leaf (29),43.7086601,-79.4780655,159193
-79.387443499999989,43.664978,171906,GO-201626153,2016-01-03T19:00:00.000Z,2016-01-05T20:15:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,5,5,Tuesday   ,20,2016,January,3,3,Sunday    ,19,Auto Theft,D52,76,Bay Street Corridor (76),43.664978,-79.3874435,159194
-79.3222809,43.7081108,171907,GO-20152166584,2015-12-17T20:00:00.000Z,2015-12-18T09:54:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,December,18,352,Friday    ,9,2015,December,17,351,Thursday  ,20,Auto Theft,D54,54,O'Connor-Parkview (54),43.7081108,-79.3222809,159195
-79.5205688,43.7394943,171908,GO-201661058,2016-01-03T19:00:00.000Z,2016-01-11T10:53:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,11,11,Monday    ,10,2016,January,3,3,Sunday    ,19,Auto Theft,D31,25,Glenfield-Jane Heights (25),43.7394943,-79.5205688,159196
-79.5289383,43.6053696,171909,GO-201679839,2016-01-13T18:00:00.000Z,2016-01-14T10:01:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,14,14,Thursday  ,10,2016,January,13,13,Wednesday ,18,Auto Theft,D22,20,Alderwood (20),43.6053696,-79.5289383,159197
-79.5289383,43.6053696,171910,GO-201679839,2016-01-13T18:00:00.000Z,2016-01-14T10:01:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,14,14,Thursday  ,10,2016,January,13,13,Wednesday ,18,Auto Theft,D22,20,Alderwood (20),43.6053696,-79.5289383,159198
-79.5289383,43.6053696,171911,GO-201679839,2016-01-13T18:00:00.000Z,2016-01-14T10:01:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,14,14,Thursday  ,10,2016,January,13,13,Wednesday ,18,Auto Theft,D22,20,Alderwood (20),43.6053696,-79.5289383,159199
-79.5231934,43.7614975,171912,GO-201686631,2016-01-14T22:00:00.000Z,2016-01-15T10:54:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,January,15,15,Friday    ,10,2016,January,14,14,Thursday  ,22,Auto Theft,D31,24,Black Creek (24),43.7614975,-79.5231934,159200
-79.5450439,43.6041183,171913,GO-20151679822,2015-09-29T02:45:00.000Z,2015-09-29T02:50:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,September,29,272,Tuesday   ,2,2015,September,29,272,Tuesday   ,2,Auto Theft,D22,20,Alderwood (20),43.6041183,-79.5450439,159201
-79.546112099999988,43.5957985,171914,GO-20151709046,2015-10-03T18:00:00.000Z,2015-10-03T19:30:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,October,3,276,Saturday  ,19,2015,October,3,276,Saturday  ,18,Auto Theft,D22,20,Alderwood (20),43.5957985,-79.5461121,159202
-79.2288971,43.8292618,171915,GO-201698736,2016-01-16T23:00:00.000Z,2016-01-17T11:22:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,17,17,Sunday    ,11,2016,January,16,16,Saturday  ,23,Auto Theft,D42,131,Rouge (131),43.8292618,-79.2288971,159203
-79.4316788,43.6527443,171916,GO-20161040354,2016-06-14T19:00:00.000Z,2016-06-15T08:36:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,June,15,167,Wednesday ,8,2016,June,14,166,Tuesday   ,19,Auto Theft,D14,83,Dufferin Grove (83),43.6527443,-79.4316788,159204
-79.5327301,43.6801643,171917,GO-20161040803,2016-06-14T22:30:00.000Z,2016-06-15T09:26:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,June,15,167,Wednesday ,9,2016,June,14,166,Tuesday   ,22,Auto Theft,D22,9,Edenbridge-Humber Valley (9),43.6801643,-79.5327301,159205
-79.4854813,43.6704636,171918,GO-2015744121,2015-05-05T06:10:00.000Z,2015-05-05T06:13:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,May,5,125,Tuesday   ,6,2015,May,5,125,Tuesday   ,6,Auto Theft,D12,111,Rockcliffe-Smythe (111),43.6704636,-79.4854813,159206
